Name,GivenName,Surname,SamAccountName,UserPrincipalName
Pamela Allen,Pamela,Allen,pallen,pallen@a.halcorp.biz
Constance Beignet,Constance,Beignet,cbeignet,cbeignet@a.halcorp.biz
Wendy Binder,Wendy,Binder,wbinder,wbinder@a.halcorp.biz
Susan Carter,Susan,Carter,scarter,scarter@a.halcorp.biz
Walter Chen,Walter,Chen,wchen,wchen@a.halcorp.biz
Kekunda Crey,Kekunda,Crey,kcrey,kcrey@a.halcorp.biz
Eddie Dias,Eddie,Dias,edias,edias@a.halcorp.biz
Vincent Disalvo,Vincent,Disalvo,vdisalvo,vdisalvo@a.halcorp.biz
Penny Dodd,Penny,Dodd,pdodd,pdodd@a.halcorp.biz
Jesse Eckerd,Jesse,Eckerd,jeckerd,jeckerd@a.halcorp.biz
Gary Fischer,Gary,Fischer,gfischer,gfischer@a.halcorp.biz
Margarito Fletcher,Margarito,Fletcher,mfletcher,mfletcher@a.halcorp.biz
Angela Fowler,Angela,Fowler,afowler,afowler@a.halcorp.biz
Willian Freund,Willian,Freund,wfreund,wfreund@a.halcorp.biz
Harold Fry,Harold,Fry,hfry,hfry@a.halcorp.biz
Mark Grisham,Mark,Grisham,mgrisham,mgrisham@a.halcorp.biz
Alan Hake,Alan,Hake,ahake,ahake@a.halcorp.biz
Thomas Harden,Thomas,Harden,tharden,tharden@a.halcorp.biz
Melinda Hixon,Melinda,Hixon,mhixon,mhixon@a.halcorp.biz
Robert James,Robert,James,rjames,rjames@a.halcorp.biz
Jonathan Jasper,Jonathan,Jasper,jjasper,jjasper@a.halcorp.biz
Wenita Jeromel,Wenita,Jeromel,wjeromel,wjeromel@a.halcorp.biz
Jeffery Kruse,Jeffery,Kruse,jkruse,jkruse@a.halcorp.biz
Susan Lampe,Susan,Lampe,slampe,slampe@a.halcorp.biz
Juanita LaSalle,Juanita,LaSalle,jlasalle,jlasalle@a.halcorp.biz
Su Lee,Su,Lee,slee,slee@a.halcorp.biz
Marie LeFleur,Marie,LeFleur,mlefleur,mlefleur@a.halcorp.biz
Leonard Leibowitz,Leonard,Leibowitz,lleibowitz,lleibowitz@a.halcorp.biz
Okekula M’buta,Okekula,M’buta,ombuta,ombuta@a.halcorp.biz
Lewis Mableton,Lewis,Mableton,lmableton,lmableton@a.halcorp.biz
